Date,Open,High,Low,Close,Adj Close,Volume
2015-09-10,5.991560,5.991560,5.924770,5.943850,5.943850,810
2015-09-11,5.972480,6.010640,5.972480,6.010640,6.010640,1058
2015-09-14,6.010640,6.010640,5.915230,5.962930,5.962930,1384
2015-09-15,6.201450,6.201450,5.915230,6.020180,6.020180,10257
2015-09-16,6.029720,6.029720,5.724420,5.819820,5.819820,18256
2015-09-17,5.819820,5.819820,5.552680,5.753040,5.753040,6286
2015-09-18,5.714880,5.724420,5.629010,5.705340,5.705340,2380
2015-09-21,5.714880,5.714880,5.629010,5.629010,5.629010,2128
2015-09-22,5.648090,5.657630,5.342790,5.342790,5.342790,8094
2015-09-23,5.352330,5.457280,5.256920,5.266460,5.266460,5408
2015-09-24,5.266460,5.295080,4.674940,4.818050,4.818050,33689
2015-09-25,4.846670,4.846670,4.674940,4.722640,4.722640,6243
2015-09-28,4.713100,4.713100,4.436420,4.531830,4.531830,10146
2015-09-29,4.436420,4.522290,4.083420,4.159740,4.159740,18486
2015-09-30,3.816280,4.197910,3.816280,4.045250,4.045250,28266
2015-10-01,4.092960,4.092960,3.883060,3.921230,3.921230,6646
2015-10-02,3.863980,3.949850,3.768570,3.816280,3.816280,8859
2015-10-05,3.863980,3.988010,3.768570,3.816280,3.816280,9647
2015-10-06,3.768570,3.911680,3.768570,3.854440,3.854440,6427
2015-10-07,3.959390,4.159740,3.949850,4.131120,4.131120,12496
2015-10-08,4.178820,4.188360,4.102500,4.169280,4.169280,21307
2015-10-09,4.169280,4.388720,4.169280,4.293310,4.293310,57294
2015-10-12,4.293310,4.293310,4.197910,4.293310,4.293310,4674
2015-10-13,4.293310,4.293310,4.188360,4.226530,4.226530,8023
2015-10-14,4.197910,4.197910,3.997550,4.102500,4.102500,8630
2015-10-15,4.092960,4.102500,4.054790,4.102500,4.102500,4075
2015-10-16,4.102500,4.102500,4.035710,4.045250,4.045250,14204
2015-10-19,4.045250,4.045250,3.911680,3.911680,3.911680,4935
2015-10-20,3.902140,3.911680,3.768570,3.911680,3.911680,9525
2015-10-21,3.778120,3.816280,3.778120,3.816280,3.816280,8850
2015-10-22,3.816280,3.816280,3.673170,3.711330,3.711330,49060
2015-10-23,3.692250,3.749490,3.606380,3.635000,3.635000,37955
2015-10-26,3.635000,3.902140,3.635000,3.778120,3.778120,101158
2015-10-27,3.816280,3.816280,3.606380,3.692250,3.692250,65738
2015-10-28,3.673170,3.692250,3.577760,3.587300,3.587300,20893
2015-10-29,3.577760,3.615920,3.339240,3.520520,3.520520,34873
2015-10-30,3.520520,3.577760,3.396490,3.520520,3.520520,67094
2015-11-02,3.491890,3.596840,3.339240,3.386950,3.386950,90350
2015-11-03,3.482350,3.482350,3.358320,3.358320,3.358320,54455
2015-11-04,3.358320,3.472810,3.157970,3.386950,3.386950,97631
2015-11-05,3.386950,3.510970,3.377410,3.377410,3.377410,40527
2015-11-06,3.768570,4.999320,3.759030,4.751270,4.751270,608186
2015-11-09,4.732180,4.865750,4.293310,4.617700,4.617700,165539
2015-11-10,4.579530,4.770350,4.341020,4.627240,4.627240,74878
